"Girth","Height","Volume"
"Quantity[8.3, ""Inches""]","Quantity[70, ""Feet""]","Quantity[10.3, ""Feet""^3]"
"Quantity[8.6, ""Inches""]","Quantity[65, ""Feet""]","Quantity[10.3, ""Feet""^3]"
"Quantity[8.8, ""Inches""]","Quantity[63, ""Feet""]","Quantity[10.2, ""Feet""^3]"
"Quantity[10.5, ""Inches""]","Quantity[72, ""Feet""]","Quantity[16.4, ""Feet""^3]"
"Quantity[10.7, ""Inches""]","Quantity[81, ""Feet""]","Quantity[18.8, ""Feet""^3]"
"Quantity[10.8, ""Inches""]","Quantity[83, ""Feet""]","Quantity[19.7, ""Feet""^3]"
"Quantity[11, ""Inches""]","Quantity[66, ""Feet""]","Quantity[15.6, ""Feet""^3]"
"Quantity[11, ""Inches""]","Quantity[75, ""Feet""]","Quantity[18.2, ""Feet""^3]"
"Quantity[11.1, ""Inches""]","Quantity[80, ""Feet""]","Quantity[22.6, ""Feet""^3]"
"Quantity[11.2, ""Inches""]","Quantity[75, ""Feet""]","Quantity[19.9, ""Feet""^3]"
"Quantity[11.3, ""Inches""]","Quantity[79, ""Feet""]","Quantity[24.2, ""Feet""^3]"
"Quantity[11.4, ""Inches""]","Quantity[76, ""Feet""]","Quantity[21, ""Feet""^3]"
"Quantity[11.4, ""Inches""]","Quantity[76, ""Feet""]","Quantity[21.4, ""Feet""^3]"
"Quantity[11.7, ""Inches""]","Quantity[69, ""Feet""]","Quantity[21.3, ""Feet""^3]"
"Quantity[12, ""Inches""]","Quantity[75, ""Feet""]","Quantity[19.1, ""Feet""^3]"
"Quantity[12.9, ""Inches""]","Quantity[74, ""Feet""]","Quantity[22.2, ""Feet""^3]"
"Quantity[12.9, ""Inches""]","Quantity[85, ""Feet""]","Quantity[33.8, ""Feet""^3]"
"Quantity[13.3, ""Inches""]","Quantity[86, ""Feet""]","Quantity[27.4, ""Feet""^3]"
"Quantity[13.7, ""Inches""]","Quantity[71, ""Feet""]","Quantity[25.7, ""Feet""^3]"
"Quantity[13.8, ""Inches""]","Quantity[64, ""Feet""]","Quantity[24.9, ""Feet""^3]"
"Quantity[14, ""Inches""]","Quantity[78, ""Feet""]","Quantity[34.5, ""Feet""^3]"
"Quantity[14.2, ""Inches""]","Quantity[80, ""Feet""]","Quantity[31.7, ""Feet""^3]"
"Quantity[14.5, ""Inches""]","Quantity[74, ""Feet""]","Quantity[36.3, ""Feet""^3]"
"Quantity[16, ""Inches""]","Quantity[72, ""Feet""]","Quantity[38.3, ""Feet""^3]"
"Quantity[16.3, ""Inches""]","Quantity[77, ""Feet""]","Quantity[42.6, ""Feet""^3]"
"Quantity[17.3, ""Inches""]","Quantity[81, ""Feet""]","Quantity[55.4, ""Feet""^3]"
"Quantity[17.5, ""Inches""]","Quantity[82, ""Feet""]","Quantity[55.7, ""Feet""^3]"
"Quantity[17.9, ""Inches""]","Quantity[80, ""Feet""]","Quantity[58.3, ""Feet""^3]"
"Quantity[18, ""Inches""]","Quantity[80, ""Feet""]","Quantity[51.5, ""Feet""^3]"
"Quantity[18, ""Inches""]","Quantity[80, ""Feet""]","Quantity[51, ""Feet""^3]"
"Quantity[20.6, ""Inches""]","Quantity[87, ""Feet""]","Quantity[77, ""Feet""^3]"
